2227,2687,2313,2468,2506,2350,2585,2618,2399,2397,2464,2388,2284,2509,2482,2308,2536,2562,2362,2387,2461,2386,2301,2533,2562,2333,2536,2620,2451,2450,2499,2408,2362,2568,2539,2303,2533,2635,2425,2454,2580,2468,2343,2523,2542,2356,2530,2561,2339,2394,2577,2459,2353,2592,2623,2433,2549,2571,2358,2385,2583,2500,2373,2565,2650,2442,2538,2615,2354,2369,2576,2421,2346,2562,2579,2359,2493,2602,2394,2401,2564,2386,2360,2574,2567,2398,2502,2585,2409,2432,2555,2383,2337,2496,2482,2343,2478,2587,2416,2434
10178,10167,9878,9693,9918,10145,10145,9805,9604,9955,10205,10061,9690,9579,10039,10325,10023,9601,9615,10134,10336,10021,9621,9551,10152,10501,10035,9590,9506,9975,10323,9894,9503,9580,10103,10422,9990,9623,9678,10156,10406,10028,9657,9669,10147,10252,9963,9733,9815,10196,10176,9918,9678,9856,10292,10094,9761,9636,9805,10191,10136,9810,9706,9944,10211,10115,9774,9559,9754,10071,10015,9794,9536,9686,10073,10065,9837,9462,9579,9922,9936,9759,9492,9663,9913,9931,9715,9534,9840,10084,9946,9651,9500,9797,10117,10023,9608,9431,9724,10065
23123,22632,21825,21756,22304,22519,22161,21964,22174,22692,23119,22773,22100,21993,22133,22363,22600,22388,22197,22608,23045,22801,22310,21956,21971,22206,22271,22313,22307,22523,22816,22769,22076,21540,21890,22294,22298,22066,21935,22095,22550,23024,22534,21699,21817,22382,22395,21890,21668,21835,22611,23261,22751,22051,21812,22127,22467,22276,21919,22085,22837,23175,22738,22062,21852,21918,22099,22353,22283,22193,22481,22894,22818,22234,21796,21887,22258,22414,22197,22124,22496,22684,22706,22269,21634,21877,22354,22468,22256,22018,22145,22642,23218,22691,21769,21857,22258,22369,22124,21959
39412,39292,39274,40262,39715,39237,39513,39502,40344,40111,39545,39253,39350,40208,39897,39569,39269,39563,40407,39849,39592,39283,39588,40311,39608,39636,39306,39800,40465,39457,39690,39462,39861,40202,39250,39717,39600,40170,40578,39594,39536,39299,39961,40386,39943,39609,39022,39938,40196,39712,39705,39171,39775,40048,39580,39608,38954,39286,39669,39313,39438,39247,39797,39740,39382,39515,39129,39910,39704,39159,39360,39256,40200,39962,39474,39444,39322,40356,39999,39548,39583,39513,40352,40020,39454,39207,39506,40161,39877,39840,39491,39632,40408,39822,39584,39271,39738,40346,39557,39686
62678,62870,62948,62759,62909,63105,63010,62870,62770,62553,62740,62653,62591,62357,62237,62383,62229,62241,62105,61958,62206,62340,62395,62271,62071,62044,61908,61669,61780,61828,61743,61669,61569,61394,61519,61300,61611,61671,61796,61899,61949,61744,61652,61369,61417,61413,61367,61240,61491,61493,61520,61240,61222,61077,61056,60918,61045,60945,60843,60812,60914,60756,61105,61249,61361,61101,60998,61042,61312,61105,61419,61387,61521,61630,61764,61424,61676,61346,61214,60989,61055,61141,61235,61354,61587,61370,61313,61231,61164,61189,61551,61564,61685,61739,61985,61800,62127,62059,62369,62394
88938,88522,89042,89482,89969,89340,88985,89148,89282,90349,89422,88749,89107,88866,90123,89530,89000,89363,89091,90324,89818,88741,89474,89572,90029,89887,88937,89064,89170,89727,88895,88242,88925,88682,89329,89251,88566,88802,88397,89520,90045,88631,88811,88795,89602,90214,89011,88929,89179,89651,90049,89113,88956,89289,89630,90374,89196,88852,89392,89253,90592,89898,88840,89145,88801,90231,89842,88668,89342,89543,90295,89694,88629,89304,89263,89590,89099,88475,89017,88829,89201,89099,88559,88945,88672,89330,89691,88649,88915,88968,89623,89935,89114,89339,89401,89824,90130,89028,88762,89350
121620,121709,121491,120466,120221,122266,123484,122238,120658,120353,121218,121868,121287,120481,121073,122725,123470,122230,121263,121350,121737,121704,120639,119951,121797,123217,122309,120866,120023,120791,121979,121314,120096,120800,122606,123606,122475,121284,121649,121800,121191,120655,119931,121204,122580,121908,121083,120587,120845,121503,121267,120526,121123,122836,123830,122811,121487,121437,121468,121181,120681,119967,121183,122446,122202,121308,120808,121410,122090,121699,120340,120539,122825,123795,122582,121229,121426,121951,121324,120678,120325,121502,122790,122873,121829,120817,121264,121859,121466,120439,120424,122475,123776,122649,120925,120914,121976,121393,120331,120531
158167,157967,159105,159280,157590,157349,157607,159089,159323,158048,157958,157429,158934,159715,158805,158689,157686,158623,159380,159329,159150,157538,158257,159444,160410,159632,157347,157600,158936,160851,160161,157915,158417,158376,159337,160237,158359,158053,158508,159009,158908,157969,157757,157812,159400,159708,158513,158190,157655,159444,160371,159381,158954,157865,158495,159419,159618,159056,157397,157902,159059,160680,159689,156948,157607,158796,160356,160238,158085,157979,158363,159479,159731,157627,157600,158278,158838,159190,158128,157262,157455,159630,160062,158896,158133,157610,159626,159923,159028,158979,157848,158771,159639,159709,159218,157312,157945,159440,160573,159673
201720,201219,200069,201204,201415,201041,200483,201711,201196,200026,201096,200687,200728,200250,201330,201830,199856,201550,201303,200732,201294,201094,201096,200808,201882,200770,199701,200776,200171,200877,200564,201461,201677,199825,202130,201448,200160,200839,201224,201094,200179,201027,200271,199995,201243,200343,200603,200660,202114,202107,200444,202395,201454,200040,200344,201165,201591,200410,200897,200160,199912,200954,200355,201209,201008,201842,202130,201120,202510,201599,200641,200838,201440,201424,200227,201276,200585,199522,200263,200312,201191,200374,201303,201722,200525,201832,200867,200573,201067,201558,201680,200469,201665,200886,199939,200648,200729,201110,200284,201675
251083,250824,250425,250082,249515,248990,249396,250047,250411,250901,251048,250684,250866,251111,250712,250096,249410,249487,249928,249466,248612,248360,248185,247576,247373,247975,248563,248619,248227,247807,247457,247506,247702,247338,246848,246638,246260,245833,246323,246841,246449,246372,247128,247604,247709,248045,247849,247275,247142,247338,247219,246477,246568,247044,247310,248003,248822,248808,248647,248416,248038,247828,247527,247940,248311,247828,247688,248129,248388,248332,248591,248605,247898,247849,248465,248710,248633,248857,248899,249144,249116,249095,249172,248444,247835,247205,247079,247485,247345,247478,247667,247541,247198,247030,247212,246960,246435,246393,247009,247107
