512,516,512,509,516,515,504,521,506,509,511,509,508,507,508,517,511,523,513,514,515,513,509,508,507,518,514,518,512,511,512,515,513,500,511,511,512,516,503,518,503,514,512,513,511,510,502,520,507,509,509,515,504,497,504,510,513,513,518,507,514,509,510,516,518,517,516,511,510,512,513,513,522,506,508,521,514,515,508,511,505,518,508,506,503,513,516,512,517,506,514,519,513,516,515,511,510,512,506,503
1214,1226,1220,1210,1216,1230,1214,1218,1206,1225,1225,1234,1201,1210,1221,1223,1225,1213,1197,1217,1216,1213,1216,1211,1214,1223,1219,1217,1207,1225,1220,1215,1205,1210,1229,1222,1209,1222,1212,1209,1219,1199,1215,1204,1228,1235,1201,1223,1198,1219,1229,1221,1211,1221,1212,1227,1217,1224,1192,1224,1211,1205,1202,1215,1215,1209,1218,1212,1209,1219,1213,1205,1217,1203,1222,1218,1207,1198,1211,1226,1212,1208,1219,1224,1230,1219,1216,1215,1218,1224,1220,1216,1217,1217,1233,1223,1218,1206,1210,1227
1988,2017,1993,2003,1995,1995,1986,1990,1979,1975,1982,2001,1993,2003,2000,1984,1996,2008,1999,1998,1976,1991,1990,2007,2003,1994,1991,1988,1984,1988,1974,1985,1995,1989,1996,2000,2007,1965,1996,2010,1982,1992,1986,2005,1993,1968,2010,2004,1976,1988,1982,1976,2001,2002,1993,1986,1993,1991,1991,1989,1978,1981,1992,1990,1987,1995,1986,1993,1993,2012,1975,1973,1980,1996,2002,2014,1997,1972,1997,2002,1994,1984,1982,1988,2005,2008,1991,1994,2000,1989,1993,1980,1986,1985,1999,2017,1992,2006,1974,1999
2824,2824,2802,2828,2816,2827,2837,2800,2829,2827,2819,2831,2804,2822,2824,2831,2823,2819,2810,2816,2826,2845,2816,2825,2822,2836,2830,2781,2846,2830,2837,2831,2801,2836,2841,2844,2796,2806,2830,2815,2837,2814,2808,2820,2837,2841,2802,2811,2832,2838,2839,2817,2820,2819,2832,2833,2820,2811,2815,2817,2812,2795,2818,2835,2819,2840,2819,2821,2847,2807,2842,2805,2831,2828,2832,2842,2802,2826,2810,2833,2808,2809,2811,2822,2827,2828,2814,2839,2822,2822,2812,2816,2824,2818,2830,2817,2803,2846,2826,2831
3671,3671,3705,3681,3663,3671,3695,3671,3668,3678,3678,3674,3676,3670,3677,3665,3677,3675,3679,3669,3671,3671,3669,3647,3669,3646,3663,3685,3677,3665,3650,3676,3666,3681,3670,3696,3658,3689,3662,3670,3660,3661,3658,3663,3685,3659,3647,3662,3672,3681,3672,3650,3676,3645,3669,3651,3673,3674,3664,3652,3671,3675,3672,3651,3664,3657,3676,3677,3635,3670,3655,3639,3661,3665,3658,3671,3663,3653,3665,3665,3661,3665,3693,3648,3658,3677,3655,3693,3647,3671,3657,3678,3645,3693,3663,3661,3641,3674,3651,3674
4576,4576,4560,4597,4542,4578,4588,4570,4582,4552,4586,4591,4563,4577,4567,4581,4583,4581,4573,4567,4554,4576,4566,4572,4569,4570,4581,4583,4563,4564,4556,4598,4588,4557,4561,4567,4562,4581,4579,4570,4558,4573,4570,4587,4559,4536,4605,4582,4572,4585,4552,4566,4581,4562,4591,4564,4572,4583,4572,4570,4549,4563,4587,4564,4587,4573,4560,4578,4588,4573,4541,4552,4576,4573,4551,4570,4574,4580,4593,4587,4567,4549,4570,4575,4565,4563,4539,4578,4583,4553,4569,4565,4579,4560,4582,4578,4554,4574,4582,4575
5492,5479,5478,5491,5473,5498,5481,5524,5475,5510,5507,5519,5499,5473,5527,5487,5505,5497,5504,5487,5481,5491,5463,5487,5512,5499,5518,5485,5491,5472,5472,5495,5479,5467,5509,5506,5521,5488,5491,5498,5492,5478,5488,5516,5486,5494,5513,5485,5482,5485,5484,5483,5512,5498,5495,5498,5504,5491,5520,5496,5487,5493,5488,5502,5493,5490,5503,5463,5485,5499,5511,5498,5506,5506,5493,5500,5488,5495,5480,5493,5506,5509,5518,5499,5523,5462,5482,5483,5474,5476,5495,5515,5495,5509,5489,5482,5482,5490,5481,5486
6452,6439,6420,6424,6442,6418,6412,6399,6424,6427,6429,6439,6422,6430,6451,6439,6430,6424,6446,6418,6433,6434,6394,6411,6432,6454,6423,6412,6428,6412,6428,6457,6437,6430,6407,6411,6444,6416,6424,6439,6438,6454,6457,6403,6416,6444,6438,6430,6435,6420,6428,6441,6418,6438,6401,6453,6416,6409,6433,6430,6439,6432,6444,6448,6420,6417,6426,6426,6439,6445,6387,6404,6438,6439,6415,6419,6390,6448,6442,6416,6432,6426,6439,6431,6417,6424,6423,6442,6419,6451,6427,6426,6439,6414,6431,6435,6448,6427,6419,6421
7376,7384,7336,7387,7389,7359,7384,7372,7405,7387,7369,7376,7324,7393,7365,7339,7373,7388,7355,7345,7381,7372,7367,7384,7368,7385,7317,7378,7380,7381,7367,7392,7340,7376,7401,7368,7345,7394,7403,7394,7381,7394,7379,7385,7369,7337,7340,7363,7389,7341,7357,7391,7356,7344,7401,7386,7391,7387,7407,7362,7381,7399,7376,7380,7340,7377,7380,7337,7378,7361,7372,7382,7367,7374,7382,7376,7361,7356,7380,7387,7368,7370,7348,7382,7364,7394,7367,7350,7382,7397,7362,7355,7393,7377,7372,7389,7365,7397,7378,7393
8309,8334,8345,8319,8327,8312,8317,8339,8361,8354,8339,8348,8375,8313,8338,8317,8319,8339,8320,8350,8305,8334,8298,8305,8324,8346,8310,8334,8328,8322,8349,8319,8308,8341,8311,8336,8277,8302,8297,8336,8327,8322,8306,8324,8327,8339,8295,8306,8318,8300,8285,8313,8326,8323,8321,8354,8330,8349,8337,8318,8332,8327,8349,8358,8337,8331,8343,8324,8325,8325,8315,8303,8348,8320,8334,8342,8352,8330,8324,8329,8340,8352,8350,8317,8343,8311,8338,8320,8320,8292,8340,8324,8309,8330,8330,8324,8320,8306,8315,8313
